จังหวัด,ปี,ชาย (คน),หญิง (คน),รวม (คน)
กรุงเทพมหานคร,2536,74967,69856,144823
จังหวัดสมุทรปราการ,2536,5713,5382,11095
จังหวัดนนทบุรี,2536,4591,4402,8993
จังหวัดปทุมธานี,2536,2880,2737,5617
จังหวัดพระนครศรีอยุธยา,2536,4093,4087,8180
จังหวัดอ่างทอง,2536,1677,1614,3291
จังหวัดลพบุรี,2536,4545,4407,8952
จังหวัดสิงห์บุรี,2536,1829,1622,3451
จังหวัดชัยนาท,2536,1630,1564,3194
จังหวัดสระบุรี,2536,5026,4766,9792
จังหวัดชลบุรี,2536,10590,9950,20540
จังหวัดระยอง,2536,4048,4012,8060
จังหวัดจันทบุรี,2536,4168,4162,8330
จังหวัดตราด,2536,1772,1709,3481
จังหวัดฉะเชิงเทรา,2536,4250,4174,8424
จังหวัดปราจีนบุรี,2536,6736,6264,13000
จังหวัดนครนายก,2536,1630,1609,3239
จังหวัดสระแก้ว,2536,400,344,744
จังหวัดนครราชสีมา,2536,17588,17102,34690
จังหวัดบุรีรัมย์,2536,12319,11780,24099
จังหวัดสุรินทร์,2536,11392,10753,22145
จังหวัดศรีสะเกษ,2536,12264,11993,24257
จังหวัดอุบลราชธานี,2536,18353,17444,35797
จังหวัดยโสธร,2536,4108,3914,8022
จังหวัดชัยภูมิ,2536,7998,7701,15699
จังหวัดอำนาจเจริญ,2536,283,271,554
จังหวัดหนองบัวลำภู,2536,399,384,783
จังหวัดขอนแก่น,2536,15634,15090,30724
จังหวัดอุดรธานี,2536,16613,15783,32396
จังหวัดเลย,2536,4640,4390,9030
จังหวัดหนองคาย,2536,7605,7500,15105
จังหวัดมหาสารคาม,2536,5868,5638,11506
จังหวัดร้อยเอ็ด,2536,9368,9211,18579
จังหวัดกาฬสินธุ์,2536,7435,7124,14559
จังหวัดสกลนคร,2536,9044,8727,17771
จังหวัดนครพนม,2536,5755,5661,11416
จังหวัดมุกดาหาร,2536,2787,2641,5428
จังหวัดเชียงใหม่,2536,12871,11940,24811
