จังหวัด,ปี,ชาย (คน),หญิง (คน),รวม (คน)
กรุงเทพมหานคร,2536,74967,69856,144823
สมุทรปราการ,2536,5713,5382,11095
นนทบุรี,2536,4591,4402,8993
ปทุมธานี,2536,2880,2737,5617
พระนครศรีอยุธยา,2536,4093,4087,8180
อ่างทอง,2536,1677,1614,3291
ลพบุรี,2536,4545,4407,8952
สิงห์บุรี,2536,1829,1622,3451
ชัยนาท,2536,1630,1564,3194
สระบุรี,2536,5026,4766,9792
ชลบุรี,2536,10590,9950,20540
ระยอง,2536,4048,4012,8060
จันทบุรี,2536,4168,4162,8330
ตราด,2536,1772,1709,3481
ฉะเชิงเทรา,2536,4250,4174,8424
ปราจีนบุรี,2536,6736,6264,13000
นครนายก,2536,1630,1609,3239
สระแก้ว,2536,400,344,744
นครราชสีมา,2536,17588,17102,34690
บุรีรัมย์,2536,12319,11780,24099
สุรินทร์,2536,11392,10753,22145
ศรีสะเกษ,2536,12264,11993,24257
อุบลราชธานี,2536,18353,17444,35797
ยโสธร,2536,4108,3914,8022
ชัยภูมิ,2536,7998,7701,15699
อำนาจเจริญ,2536,283,271,554
หนองบัวลำภู,2536,399,384,783
ขอนแก่น,2536,15634,15090,30724
อุดรธานี,2536,16613,15783,32396
เลย,2536,4640,4390,9030
หนองคาย,2536,7605,7500,15105
มหาสารคาม,2536,5868,5638,11506
ร้อยเอ็ด,2536,9368,9211,18579
กาฬสินธุ์,2536,7435,7124,14559
สกลนคร,2536,9044,8727,17771
นครพนม,2536,5755,5661,11416
มุกดาหาร,2536,2787,2641,5428
เชียงใหม่,2536,12871,11940,24811
ลำพูน,2536,1619,1621,3240
ลำปาง,2536,4963,4716,9679
อุตรดิตถ์,2536,3179,3082,6261
แพร่,2536,3200,3064,6264
น่าน,2536,3994,3713,7707
พะเยา,2536,3361,3193,6554
เชียงราย,2536,8418,8146,16564
แม่ฮ่องสอน,2536,2107,1989,4096
นครสวรรค์,2536,7739,7377,15116
อุทัยธานี,2536,2504,2293,4797
กำแพงเพชร,2536,5171,4978,10149
ตาก,2536,4196,4007,8203
สุโขทัย,2536,3750,3546,7296
พิษณุโลก,2536,5885,5693,11578
พิจิตร,2536,3508,3472,6980
เพชรบูรณ์,2536,6625,6267,12892
ราชบุรี,2536,8077,7463,15540
กาญจนบุรี,2536,5397,5221,10618
สุพรรณบุรี,2536,5152,4969,10121
นครปฐม,2536,5408,5078,10486
สมุทรสาคร,2536,3490,3265,6755
สมุทรสงคราม,2536,1077,1135,2212
เพชรบุรี,2536,2580,2406,4986
ประจวบคีรีขันธ์,2536,3557,3368,6925
นครศรีธรรมราช,2536,12498,12113,24611
กระบี่,2536,3310,3056,6366
พังงา,2536,1978,1948,3926
ภูเก็ต,2536,2634,2408,5042
สุราษฎร์ธานี,2536,7561,7169,14730
ระนอง,2536,1415,1298,2713
ชุมพร,2536,3565,3290,6855
สงขลา,2536,11364,11173,22537
สตูล,2536,2390,2261,4651
ตรัง,2536,5596,5236,10832
พัทลุง,2536,3827,3712,7539
ปัตตานี,2536,6703,6618,13321
ยะลา,2536,5611,5429,11040
นราธิวาส,2536,7273,6932,14205
กรุงเทพมหานคร,2537,75917,71196,147113
สมุทรปราการ,2537,6467,6138,12605
นนทบุรี,2537,4963,4708,9671
ปทุมธานี,2537,3196,3052,6248
พระนครศรีอยุธยา,2537,4593,4291,8884
อ่างทอง,2537,1758,1524,3282
ลพบุรี,2537,4654,4381,9035
สิงห์บุรี,2537,1738,1627,3365
ชัยนาท,2537,1383,1407,2790
สระบุรี,2537,5220,5027,10247
ชลบุรี,2537,11131,10554,21685
ระยอง,2537,4159,3992,8151
จันทบุรี,2537,4156,4114,8270
ตราด,2537,1621,1534,3155
ฉะเชิงเทรา,2537,4200,3921,8121
ปราจีนบุรี,2537,2829,2853,5682
นครนายก,2537,1622,1450,3072
สระแก้ว,2537,4099,3914,8013
นครราชสีมา,2537,17999,17009,35008
บุรีรัมย์,2537,11841,11459,23300
สุรินทร์,2537,10998,10678,21676
ศรีสะเกษ,2537,11766,11344,23110
อุบลราชธานี,2537,15066,14318,29384
ยโสธร,2537,4169,3811,7980
ชัยภูมิ,2537,6993,6473,13466
อำนาจเจริญ,2537,2677,2504,5181
หนองบัวลำภู,2537,3865,3745,7610
ขอนแก่น,2537,15349,14439,29788
อุดรธานี,2537,12432,11879,24311
เลย,2537,4393,4197,8590
หนองคาย,2537,6639,6658,13297
มหาสารคาม,2537,5806,5520,11326
ร้อยเอ็ด,2537,9341,9025,18366
กาฬสินธุ์,2537,6862,6642,13504
สกลนคร,2537,8090,7788,15878
นครพนม,2537,5686,5430,11116
มุกดาหาร,2537,2623,2577,5200
เชียงใหม่,2537,11163,10593,21756
ลำพูน,2537,1552,1503,3055
ลำปาง,2537,5065,4690,9755
อุตรดิตถ์,2537,3017,2827,5844
แพร่,2537,3112,3029,6141
น่าน,2537,3585,3407,6992
พะเยา,2537,3375,3236,6611
เชียงราย,2537,8290,7739,16029
แม่ฮ่องสอน,2537,2743,2512,5255
นครสวรรค์,2537,7144,6888,14032
อุทัยธานี,2537,2482,2344,4826
กำแพงเพชร,2537,4687,4723,9410
ตาก,2537,3992,3870,7862
สุโขทัย,2537,3520,3260,6780
พิษณุโลก,2537,5832,5511,11343
พิจิตร,2537,3709,3458,7167
เพชรบูรณ์,2537,6247,5964,12211
ราชบุรี,2537,7895,7487,15382
กาญจนบุรี,2537,5460,5258,10718
สุพรรณบุรี,2537,5380,5232,10612
นครปฐม,2537,5979,5454,11433
สมุทรสาคร,2537,4154,3672,7826
สมุทรสงคราม,2537,1175,1044,2219
เพชรบุรี,2537,2620,2452,5072
ประจวบคีรีขันธ์,2537,3374,3272,6646
นครศรีธรรมราช,2537,12254,11573,23827
กระบี่,2537,3217,3007,6224
พังงา,2537,1984,1985,3969
ภูเก็ต,2537,2658,2572,5230
สุราษฎร์ธานี,2537,7713,7563,15276
ระนอง,2537,1384,1279,2663
ชุมพร,2537,3568,3337,6905
สงขลา,2537,11972,11212,23184
สตูล,2537,2478,2432,4910
ตรัง,2537,5514,5259,10773
พัทลุง,2537,3865,3648,7513
ปัตตานี,2537,6473,6180,12653
ยะลา,2537,5754,5427,11181
นราธิวาส,2537,7130,6865,13995
กรุงเทพมหานคร,2538,70009,66108,136117
สมุทรปราการ,2538,6428,6131,12559
นนทบุรี,2538,5643,5073,10716
ปทุมธานี,2538,3245,3050,6295
พระนครศรีอยุธยา,2538,4799,4580,9379
อ่างทอง,2538,1568,1487,3055
ลพบุรี,2538,4691,4462,9153
สิงห์บุรี,2538,1572,1406,2978
ชัยนาท,2538,1398,1310,2708
สระบุรี,2538,4418,4247,8665
ชลบุรี,2538,10058,9877,19935
ระยอง,2538,4299,3998,8297
จันทบุรี,2538,4370,4167,8537
ตราด,2538,1629,1560,3189
ฉะเชิงเทรา,2538,4101,4029,8130
ปราจีนบุรี,2538,3068,2907,5975
นครนายก,2538,1662,1608,3270
สระแก้ว,2538,3127,2910,6037
นครราชสีมา,2538,17267,16623,33890
บุรีรัมย์,2538,11418,11039,22457
สุรินทร์,2538,10098,9729,19827
ศรีสะเกษ,2538,11487,11254,22741
อุบลราชธานี,2538,14720,14202,28922
ยโสธร,2538,4155,3871,8026
ชัยภูมิ,2538,6008,5671,11679
อำนาจเจริญ,2538,2579,2507,5086
หนองบัวลำภู,2538,3657,3589,7246
ขอนแก่น,2538,14470,13923,28393
อุดรธานี,2538,11662,11031,22693
เลย,2538,4387,4229,8616
หนองคาย,2538,7116,6833,13949
มหาสารคาม,2538,5198,5169,10367
ร้อยเอ็ด,2538,8050,7759,15809
กาฬสินธุ์,2538,5869,5658,11527
สกลนคร,2538,8671,8379,17050
นครพนม,2538,5269,5192,10461
มุกดาหาร,2538,2642,2498,5140
เชียงใหม่,2538,10488,10207,20695
ลำพูน,2538,1684,1513,3197
ลำปาง,2538,4635,4501,9136
อุตรดิตถ์,2538,2659,2591,5250
แพร่,2538,2579,2526,5105
น่าน,2538,4658,4390,9048
พะเยา,2538,3209,3162,6371
เชียงราย,2538,7507,7142,14649
แม่ฮ่องสอน,2538,2823,2660,5483
นครสวรรค์,2538,6437,6141,12578
อุทัยธานี,2538,2365,2221,4586
กำแพงเพชร,2538,4581,4530,9111
ตาก,2538,4229,3888,8117
สุโขทัย,2538,3300,3133,6433
พิษณุโลก,2538,5597,5414,11011
พิจิตร,2538,3467,3112,6579
เพชรบูรณ์,2538,5844,5620,11464
ราชบุรี,2538,7566,7309,14875
กาญจนบุรี,2538,5273,5090,10363
สุพรรณบุรี,2538,5314,4961,10275
นครปฐม,2538,5662,5527,11189
สมุทรสาคร,2538,4445,4221,8666
สมุทรสงคราม,2538,1115,1060,2175
เพชรบุรี,2538,2375,2296,4671
ประจวบคีรีขันธ์,2538,3113,2955,6068
นครศรีธรรมราช,2538,11014,10555,21569
กระบี่,2538,3065,2896,5961
พังงา,2538,2024,1871,3895
ภูเก็ต,2538,2748,2518,5266
สุราษฎร์ธานี,2538,7295,6916,14211
ระนอง,2538,1486,1439,2925
ชุมพร,2538,3863,3663,7526
สงขลา,2538,12144,11242,23386
สตูล,2538,2352,2104,4456
ตรัง,2538,5075,4931,10006
พัทลุง,2538,3435,3350,6785
ปัตตานี,2538,6508,6439,12947
ยะลา,2538,5583,5327,10910
นราธิวาส,2538,6661,6483,13144
กรุงเทพมหานคร,2539,77979,72482,150461
สมุทรปราการ,2539,8316,7783,16099
นนทบุรี,2539,5908,5461,11369
ปทุมธานี,2539,3279,2962,6241
พระนครศรีอยุธยา,2539,4895,4681,9576
อ่างทอง,2539,1671,1690,3361
ลพบุรี,2539,4733,4566,9299
สิงห์บุรี,2539,1677,1564,3241
ชัยนาท,2539,1535,1449,2984
สระบุรี,2539,5415,5071,10486
ชลบุรี,2539,12134,11270,23404
ระยอง,2539,4912,4790,9702
จันทบุรี,2539,4348,3969,8317
ตราด,2539,1692,1629,3321
ฉะเชิงเทรา,2539,4663,4376,9039
ปราจีนบุรี,2539,3276,3063,6339
นครนายก,2539,1663,1609,3272
สระแก้ว,2539,4047,3748,7795
นครราชสีมา,2539,17217,16452,33669
บุรีรัมย์,2539,11637,11215,22852
สุรินทร์,2539,11108,10415,21523
ศรีสะเกษ,2539,11208,10848,22056
อุบลราชธานี,2539,15084,14302,29386
ยโสธร,2539,4190,4133,8323
ชัยภูมิ,2539,6268,6158,12426
อำนาจเจริญ,2539,2500,2428,4928
หนองบัวลำภู,2539,3995,3680,7675
ขอนแก่น,2539,15634,14893,30527
อุดรธานี,2539,12277,11816,24093
เลย,2539,4155,4122,8277
หนองคาย,2539,7060,6762,13822
มหาสารคาม,2539,5801,5593,11394
ร้อยเอ็ด,2539,8785,8305,17090
กาฬสินธุ์,2539,6473,6223,12696
สกลนคร,2539,8114,7567,15681
นครพนม,2539,5431,5240,10671
มุกดาหาร,2539,2862,2749,5611
เชียงใหม่,2539,8670,8269,16939
ลำพูน,2539,1832,1680,3512
ลำปาง,2539,4769,4524,9293
อุตรดิตถ์,2539,3121,2941,6062
แพร่,2539,2913,2768,5681
น่าน,2539,3945,3910,7855
พะเยา,2539,3167,3182,6349
เชียงราย,2539,8277,7561,15838
แม่ฮ่องสอน,2539,3440,3203,6643
นครสวรรค์,2539,7036,6844,13880
อุทัยธานี,2539,2423,2272,4695
กำแพงเพชร,2539,4462,4286,8748
ตาก,2539,5095,4837,9932
สุโขทัย,2539,3600,3416,7016
พิษณุโลก,2539,5852,5565,11417
พิจิตร,2539,3617,3485,7102
เพชรบูรณ์,2539,6207,6019,12226
ราชบุรี,2539,8029,7715,15744
กาญจนบุรี,2539,5676,5406,11082
สุพรรณบุรี,2539,5573,5305,10878
นครปฐม,2539,6263,6001,12264
สมุทรสาคร,2539,4877,4519,9396
สมุทรสงคราม,2539,1123,1022,2145
เพชรบุรี,2539,2728,2586,5314
ประจวบคีรีขันธ์,2539,3396,3227,6623
นครศรีธรรมราช,2539,12380,11439,23819
กระบี่,2539,3047,2912,5959
พังงา,2539,2136,1956,4092
ภูเก็ต,2539,2832,2865,5697
สุราษฎร์ธานี,2539,8026,7841,15867
ระนอง,2539,1368,1420,2788
ชุมพร,2539,3800,3686,7486
สงขลา,2539,12158,11281,23439
สตูล,2539,2459,2308,4767
ตรัง,2539,5939,5685,11624
พัทลุง,2539,3822,3691,7513
ปัตตานี,2539,6560,6408,12968
ยะลา,2539,5624,5376,11000
นราธิวาส,2539,6555,6181,12736
กรุงเทพมหานคร,2540,73194,68464,141658
สมุทรปราการ,2540,7176,6746,13922
นนทบุรี,2540,5637,5286,10923
ปทุมธานี,2540,3582,3338,6920
