ปี,สมุทรปราการ,นนทบุรี,ปทุมธานี,พระนครศรีอยุธยา,อ่างทอง,ลพบุรี,สิงห์บุรี,ชัยนาท,สระบุรี,ชลบุรี,ระยอง,จันทบุรี,ตราด,ฉะเชิงเทรา,ปราจีนบุรี,นครนายก,สระแก้ว,ราชบุรี,กาญจนบุรี,สุพรรณบุรี,นครปฐม,สมุทรสาคร,สมุทรสงคราม,เพชรบุรี,ประจวบคีรีขันธ์,นครราชสีมา,บุรีรัมย์,สุรินทร์,ศรีสะเกษ,อุบลราชธานี,ยโสธร,ชัยภูมิ,อำนาจเจริญ,บึงกาฬ,หนองบัวลำภู,ขอนแก่น,อุดรธานี,เลย,หนองคาย,มหาสารคาม,ร้อยเอ็ด,กาฬสินธุ์,สกลนคร,นครพนม,มุกดาหาร,เชียงใหม่,ลำพูน,ลำปาง,อุตรดิตถ์,แพร่,น่าน,พะเยา,เชียงราย,แม่ฮ่องสอน,นครสวรรค์,อุทัยธานี,กำแพงเพชร,ตาก,สุโขทัย,พิษณุโลก,พิจิตร,เพชรบูรณ์,นครศรีธรรมราช,กระบี่,พังงา,ภูเก็ต,สุราษฎร์ธานี,ระนอง,ชุมพร,สงขลา,สตูล,ตรัง,พัทลุง,ปัตตานี,ยะลา,นราธิวาส,กรุงเทพมหานคร
2541,,,,54.8,,,54.2,,,57.7,,59.4,,,,,,58,,,,,,,,51.1,,54,56,53.6,,,,,,54.3,,,52.5,,,,,,,56.3,,,,,,,56.4,,58.8,,,,,55.6,,,,,,60.5,55.3,,,53.2,,,,,,,68.83
2542,,,,54.8,,,54,,,58.2,,59.4,,,,,,58.9,,,,,,,,51.9,,54.5,56,55.3,,,,,,54.4,,,52.6,,,,,,,56.6,,,,,,,57.6,,58.8,,,,,55.4,,,,,,60.5,54.7,,,53.4,,,,,,,69.1
2543,,,,55.7,,,55.5,,,59.7,,60.8,,,,,,61.1,,,,,,,,53.2,,55.9,56.4,57.1,,,,,,55.2,,,54.8,,,,,,,58.9,,,,,,,58.6,,59,,,,,56.7,,,,,,61.6,55.8,,,54.8,,,,,,,70.18
2544,,,,57.9,,,56.7,,,61,,61.7,,,,,,63,,,,,,,,54.6,,57,57.4,58.4,,,,,,56.4,,,56.7,,,,,,,60.9,,,,,,,60,,60.5,,,,,58.4,,,,,,62.6,58.6,,,57.5,,,,,,,71.33
2545,63.9,66.1,67.1,59.9,65,65.4,57.4,63,58.7,62.2,59.1,61.3,63.8,69.8,67.5,66.8,60.3,64,61.3,60.9,67.7,63.9,63.8,64.8,62.1,55.5,61.9,57.6,57.6,60.1,56.3,52.7,63.7,,52.9,56.7,61.7,57.9,57,61.5,61.5,55.8,59.9,63.9,59.6,62.6,66.1,58.9,56.8,62.2,64.3,54.6,60.4,63.9,61.4,60.3,69.1,60.2,58.9,59.6,65.4,62.1,62.4,65.3,64.1,62.8,59.3,62.8,67.5,58.3,57.3,61.6,64.2,61.5,64,60.3,71.68
2546,64.4,67.5,67.8,62.2,66.5,66,58.8,64.1,59.9,63.5,59.9,63.1,65.6,70.9,68.7,68.6,62.3,66,63.4,62.3,69.4,65,65.6,66.2,63.3,57.5,64.2,58.9,58.5,61.7,58,54.9,65.3,,53.7,58.1,63.4,59.3,57.9,63.2,62.9,57.4,61.5,65,60.6,64.5,67.1,60.3,58,63.2,65.6,55.6,61.7,65.3,62.3,61.3,70,60.5,60,62.2,67.8,63.5,62.9,67.1,64.9,63.5,62.1,64.8,69.4,59.9,58.9,62.9,65.4,62.9,65.2,61.7,72.8
2547,65.3,69.2,69.6,66,69.1,68.7,61.6,66.6,63.4,66,61.7,65.1,67.2,72.4,70.5,70.6,64.4,69,65.1,64.5,72.1,66.8,66.7,68.5,66.1,60.1,67.4,61.5,61.3,63.9,60.3,57.4,67.9,,56.3,60.2,65.7,61.2,59.9,66,65.7,60.2,64.2,69,63.8,66.6,68,63.6,61.1,66,68.9,57.8,64.4,68.6,65.1,64.5,72.8,62.6,63.3,63.9,70.4,65.9,65,69.1,67.3,65.4,65.4,66.4,71.4,62.9,62.6,65.4,67.9,65.5,66.8,64.5,74.73
2548,69.1,71.6,74.6,71,72.2,72.1,65.7,70.7,67.6,69.2,66.4,67.9,70.3,75.9,73.1,74.1,67.5,72.1,69.3,68.6,74.6,68.4,68.6,72.8,70.3,64.1,71.5,65,64.8,66.3,63.3,60.8,70.2,,58.3,63.7,70.1,64.9,63.5,69.3,70.1,64.2,67.9,71.5,67.2,69.2,70.9,66.6,64.8,68.6,71.4,62.6,68.4,72.7,67.8,67.2,75.1,66.3,67.5,66.6,73.5,68.9,68.6,73.4,70.8,68.2,69.7,69.1,74.7,67,67.6,69.5,71.8,69.9,70.6,67.8,77.98
2549,72.2,74.1,79.2,73.9,76.6,75.6,69,73.6,72.3,71.6,71.6,71.1,73.4,80.6,76.1,80.2,71.8,74.6,73.3,72.9,76.3,71.5,71.8,75.4,74.4,68.3,75.2,67.7,68.7,69,66.5,64.5,72.1,,60.9,66.6,73.9,70.9,68.1,72.5,73.9,69.8,69.9,73.7,70.7,71.7,74.1,70.3,67.9,71.6,72.5,66.7,70.8,74.6,71.1,70.2,78,69.6,69.9,70,75.9,72.4,72.4,77.7,75.1,71.6,73.2,73.2,76.5,71.8,71.4,73.8,78.3,74.1,75.2,71.1,81.48
2550,73.5,75.3,80.2,75.2,77.1,77.4,70.9,75.6,73.1,73.2,73.8,72.5,74.5,81.7,77.3,80.8,73.8,76.1,75.5,74.1,78.6,73.1,73,76.8,75,72,76.8,70.9,71.7,71.9,71.5,67.2,75.6,,63.9,70.3,74.4,72.4,72.1,74.9,75.8,73.9,71.4,74.9,74.5,74.7,76.4,72.9,69.8,75.4,74.2,67.8,74,74.9,72.8,71.3,77.8,71.5,71.1,71.5,76.7,75.1,73.4,79,76.5,73,75,74.5,78.1,74.6,73.5,74.2,78.4,75.6,77,72.9,83.2
