ปี,GDP_ch,CPI_ch_TH,CPI_TH,CPI_กทม,CPI_กลาง,CPI_เหนือ,CPI_ตะวันออกเฉียงเหนือ,CPI_ใต้,,,,,
2536,8.7,3.3,9.96,51.31,48.62,50.18,46.77,47.17,,,,,
2537,8,5,52.48,54.27,50.2,52.32,48.5,49.36,,,,,
2538,8.1,5.9,55.53,57.36,53.38,55.06,51.63,52.47,,,,,
2539,5.7,5.8,58.76,60.69,56.44,57.79,54.8,55.68,,,,,
2540,-2.8,5.6,62.07,63.83,60,61.03,59.17,59.28,,,,,
2541,-7.6,8.1,67.01,68.83,65.72,65.93,64.08,64.31,,,,,
2542,4.6,0.3,67.17,69.1,65.81,66.39,64.08,64.18,,,,,
2543,4.5,1.6,68.31,70.18,66.68,67.66,64.93,65.3,,,,,
2544,3.4,1.6,69.41,71.33,67.87,68.86,65.67,66.68,,,,,
2545,6.1,0.7,69.87,71.68,68.68,69.02,66.35,67.08,,,,,
2546,7.2,1.8,71.13,72.8,70.43,70.34,67.82,68.48,,,,,
2547,6.3,2.7,73.13,74.73,72.93,72.35,70.06,70.6,,,,,
2548,4.2,4.5,76.4,77.98,76.41,75.68,73.27,74.1,,,,,
2549,5,4.7,80,81.48,79.9,79.2,77.13,77.8,,,,,
2550,5.4,2.3,81.73,83.2,81.39,81.06,79.4,79.47,,,,,
2551,1.7,5.5,86.22,87,86.48,86.44,84.52,84.58,,,,,
2552,-0.7,-0.9,85.47,86.05,85.94,85.46,83.99,84.65,,,,,
2553,7.5,3.3,88.29,88.4,88.82,88.66,87.79,87.73,,,,,
2554,0.8,3.81,91.65,91.65,91.94,92.69,91.16,91.42,,,,,
2555,7.2,3.02,94.41,94.54,94.46,95.32,93.42,94.71,,,,,
2556,2.7,2.18,96.47,96.44,96.27,97.58,95.99,96.81,,,,,
2557,1,1.89,98.3,97.83,98.42,99.49,98.16,98.94,,,,,
2558,3.1,-0.9,97.42,97.36,97.44,98.08,97.08,97.71,,,,,
2559,3.4,0.19,97.6,97.5,97.54,98.13,97.57,97.87,,,,,
2560,4.2,0.66,98.25,97.99,98.42,98.61,98.11,98.88,,,,,
2561,4.2,1.07,99.3,99.12,99.64,99.09,99.11,99.82,,,,,
2562,2.2,0.71,100,100,100,100,100,100,,,,,
2563,-6.2,-0.85,99.15,99.27,99.05,99.44,99.2,98.52,,,,,
2564,1.5,1.23,100.37,100.25,100.52,100.73,100.15,100.19,,,,,
